ruta,clase,cubierto_base,cubierto_propuesta,manifiestos_propuesta
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r08-fd9f79a8.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r09-3adad2bc.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc2-s4-r10-d572b8dc.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r01-de01acc0.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r02-ad1d1f0a.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r03-455d86ff.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r04-2f51e6db.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r05-5002dc63.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r06-9cbda72f.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r07-398efbf2.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r08-f4539e9e.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r09-4e05c4e0.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s0-r10-1047f86c.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
experimentos/resultados/arbiter/campaign/analysis/oracle/esc3-s1-r01-b83210ea.json,C_derived,si,si,experimentos/resultados/arbiter/campaign/SHA256SUMS
